id,activity_type,distance_miles,moving_time,average_heartrate,max_heartrate
7294,Run,2.01,15.35,143.5,166
7295,Run,4.02,30.28,147.2,175
7296,Run,4.01,30.45,149.8,171
7297,Run,4.01,30.07,150.6,168
7298,Run,3.01,22.93,180.4,197
7299,Run,0.58,3,172.6,203
7300,Run,1.15,8.87,156,174
7301,Run,0.49,4.02,145.4,159
7302,Run,1.11,8.73,141.2,157
7303,Run,0.76,4.08,182.4,201
7304,Run,3.12,23.97,139.9,169
7305,Run,1,15.9,127.1,177
7306,Run,2.51,20.87,153.4,165
7307,Run,3.03,23.68,149.6,166
7308,Run,8.01,57.5,172.9,186
7309,Run,1.51,11.97,145,164
7310,Run,3.32,26.6,158.4,172
7311,Run,1.25,21.28,112.4,152
7312,Run,0.29,2.42,146.8,160
7313,Run,0.72,3.58,185,204
7314,Run,0.83,6.35,134.7,155
7315,Run,2.02,15.65,156.1,173
7316,Run,1.66,12.37,144.9,159
7317,Run,3.36,30.78,135.2,147
7318,Run,0.33,2.68,125.6,143
7319,Run,3.51,27.12,158,176
7320,Run,1.11,9.9,152.7,162
7321,Run,0.51,2.15,175.5,183
7322,Run,2.17,17.1,158.9,171
7323,Run,3.74,30.08,144.4,159
7324,Run,4.01,29.98,137.4,155
7325,Run,8.02,58.72,155.1,184
7326,Run,0.81,8.1,142.6,160
7327,Run,1.24,5.18,164.1,186
7328,Run,2.04,16.42,139.7,162
7329,Run,4.44,39.5,139.6,158
7330,Run,3.52,27.8,150.8,168
7331,Walk,4.03,106.37,0,0
7332,Run,2.95,24.1,135.8,154
7333,Run,2.25,30.02,113.8,147
7334,Run,2.01,14.6,152.7,163
7335,Run,0.84,7.82,138.5,149
7336,Run,1.44,6.48,166.5,197
7337,Run,2.2,18.22,144.3,164
7338,Run,3.75,33.85,123.1,146
7339,Run,5.03,39.05,145.3,164
7340,Run,0.52,6.83,115.2,177
7341,Run,5.01,42,142.9,167
7342,Run,13.15,97.22,163.7,185
7343,Run,5.08,39.13,156.1,174
7344,Run,4.01,33.83,137.6,151
7345,Run,5.01,35.3,167.2,185
7346,Run,5.01,36.3,144.2,166
7347,Run,0.5,4.62,145.5,159
7348,Run,2.5,13.13,158.5,186
7349,Run,2.62,19.78,141.9,161
7350,Run,4.01,30.4,148.6,164
7351,Run,5.13,39.58,150.7,173
7352,Run,5.38,41.58,159.2,175
7353,Run,0.3,2.35,153.8,161
7354,Run,5.02,31.9,177.1,202
7355,Run,2.28,18.9,144.5,160
7356,Run,5.55,44.08,144.9,160
7357,Run,6.02,45.15,146.3,171
7358,Run,0.01,0.15,60.4,74
7359,Run,5.31,41.37,147,176
7360,Run,9,59.7,163.2,199
7361,Run,6.02,47.45,153.2,168
7362,Run,4,29.17,150.7,165
7363,Run,4.01,26.43,182.5,203
7364,Run,6.01,44.02,155.3,179
7365,Run,4.06,32.57,147.2,163
7366,Run,10.01,79.27,149.4,170
7367,Run,2.28,20.17,131,141
7368,Run,4.02,31.18,164,189
7369,Run,3.03,23.4,146.7,157
7370,Run,10.06,76.87,155.2,173
7371,Run,4.16,30.27,149.7,176
7372,Run,4.14,37.03,131,151
7373,Run,3.59,27.05,171.3,199
7374,Run,0.5,2.15,0,0
7375,Run,1.49,11.02,157,177
7376,Run,3.01,22.35,140.2,151
7377,Run,4.01,30.85,156.8,166
